PFAM	GO_term	GO	PFAM_description
PF00346	quinone binding	GO:0048038	Complex1_49kDa
PF00346	NAD binding	GO:0051287	Complex1_49kDa
PF00347	structural constituent of ribosome	GO:0003735	Ribosomal_L6
PF00347	rRNA binding	GO:0019843	Ribosomal_L6
PF00347	translation	GO:0006412	Ribosomal_L6
PF00347	ribosome	GO:0005840	Ribosomal_L6
PF00348	isoprenoid biosynthetic process	GO:0008299	polyprenyl_synt
PF00349	ATP binding	GO:0005524	Hexokinase_1
PF00349	phosphotransferase activity, alcohol group as acceptor	GO:0016773	Hexokinase_1
PF00349	carbohydrate metabolic process	GO:0005975	Hexokinase_1
PF00351	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen	GO:0016714	Biopterin_H
PF00352	DNA binding	GO:0003677	TBP
PF00352	DNA-templated transcription initiation	GO:0006352	TBP
PF00353	calcium ion binding	GO:0005509	HemolysinCabind
PF00355	2 iron, 2 sulfur cluster binding	GO:0051537	Rieske
PF00356	DNA binding	GO:0003677	LacI
PF00356	regulation of DNA-templated transcription	GO:0006355	LacI
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system	GO:0009401	PTS_EIIA_1
PF00360	regulation of DNA-templated transcription	GO:0006355	PHY
PF00360	detection of visible light	GO:0009584	PHY
PF00363	extracellular region	GO:0005576	Casein
PF00365	6-phosphofructokinase activity	GO:0003872	PFK
PF00365	glycolytic process	GO:0006096	PFK
PF00366	structural constituent of ribosome	GO:0003735	Ribosomal_S17
PF00366	translation	GO:0006412	Ribosomal_S17
PF00366	ribosome	GO:0005840	Ribosomal_S17
PF00367	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	GO:0008982	PTS_EIIB
PF00368	hydroxymethylglutaryl-CoA reductase (NADPH) activity	GO:0004420	HMG-CoA_red
PF00368	coenzyme A metabolic process	GO:0015936	HMG-CoA_red
PF00370	kinase activity	GO:0016301	FGGY_N
PF00370	carbohydrate metabolic process	GO:0005975	FGGY_N
PF00374	nickel cation binding	GO:0016151	NiFeSe_Hases
PF00375	symporter activity	GO:0015293	SDF
PF00375	membrane	GO:0016020	SDF
PF00376	DNA binding	GO:0003677	MerR
PF00376	regulation of DNA-templated transcription	GO:0006355	MerR
PF00377	protein homooligomerization	GO:0051260	Prion
PF00377	membrane	GO:0016020	Prion
PF00380	structural constituent of ribosome	GO:0003735	Ribosomal_S9
PF00380	translation	GO:0006412	Ribosomal_S9
PF00380	ribosome	GO:0005840	Ribosomal_S9
PF00382	TBP-class protein binding	GO:0017025	TFIIB
PF00384	oxidoreductase activity	GO:0016491	Molybdopterin
PF00387	phosphatidylinositol phospholipase C activity	GO:0004435	PI-PLC-Y
PF00387	lipid metabolic process	GO:0006629	PI-PLC-Y
PF00387	signal transduction	GO:0007165	PI-PLC-Y
PF00387	intracellular signal transduction	GO:0035556	PI-PLC-Y
PF00389	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	2-Hacid_dh
PF00389	NAD binding	GO:0051287	2-Hacid_dh
PF00390	malic enzyme activity	GO:0004470	malic
PF00390	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	malic
PF00391	transferase activity, transferring phosphorus-containing groups	GO:0016772	PEP-utilizers
PF00391	phosphorylation	GO:0016310	PEP-utilizers
PF00392	DNA-binding transcription factor activity	GO:0003700	GntR
PF00392	regulation of DNA-templated transcription	GO:0006355	GntR
PF00393	phosphogluconate dehydrogenase (decarboxylating) activity	GO:0004616	6PGD
PF00393	pentose-phosphate shunt	GO:0006098	6PGD
PF00397	protein binding	GO:0005515	WW
PF00399	structural constituent of cell wall	GO:0005199	PIR
PF00399	cell wall	GO:0005618	PIR
PF00400	protein binding	GO:0005515	WD40
PF00403	metal ion binding	GO:0046872	HMA
PF00404	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Dockerin_1
PF00404	polysaccharide catabolic process	GO:0000272	Dockerin_1
PF00407	defense response	GO:0006952	Bet_v_1
PF00408	intramolecular phosphotransferase activity	GO:0016868	PGM_PMM_IV
PF00408	organic substance metabolic process	GO:0071704	PGM_PMM_IV
PF00410	structural constituent of ribosome	GO:0003735	Ribosomal_S8
PF00410	translation	GO:0006412	Ribosomal_S8
PF00410	ribosome	GO:0005840	Ribosomal_S8
PF00411	structural constituent of ribosome	GO:0003735	Ribosomal_S11
PF00411	translation	GO:0006412	Ribosomal_S11
PF00411	ribosome	GO:0005840	Ribosomal_S11
PF00413	metalloendopeptidase activity	GO:0004222	Peptidase_M10
PF00413	zinc ion binding	GO:0008270	Peptidase_M10
PF00413	proteolysis	GO:0006508	Peptidase_M10
PF00413	extracellular matrix	GO:0031012	Peptidase_M10
PF00416	RNA binding	GO:0003723	Ribosomal_S13
PF00416	structural constituent of ribosome	GO:0003735	Ribosomal_S13
PF00416	translation	GO:0006412	Ribosomal_S13
PF00416	ribosome	GO:0005840	Ribosomal_S13
PF00418	tubulin binding	GO:0015631	Tubulin-binding
PF00419	cell adhesion	GO:0007155	Fimbrial
PF00419	pilus	GO:0009289	Fimbrial
PF00421	chlorophyll binding	GO:0016168	PSII
PF00421	photosynthetic electron transport chain	GO:0009767	PSII
PF00421	photosynthesis, light reaction	GO:0019684	PSII
PF00421	photosystem	GO:0009521	PSII
PF00421	membrane	GO:0016020	PSII
PF00423	host cell surface receptor binding	GO:0046789	HN
PF00423	viral life cycle	GO:0019058	HN
PF00423	viral envelope	GO:0019031	HN
PF00424	DNA-binding transcription factor activity	GO:0003700	REV
PF00424	regulation of DNA-templated transcription	GO:0006355	REV
PF00424	host cell nucleus	GO:0042025	REV
PF00426	viral life cycle	GO:0019058	VP4_haemagglut
PF00426	viral capsid	GO:0019028	VP4_haemagglut
PF00427	photosynthesis	GO:0015979	PBS_linker_poly
PF00427	phycobilisome	GO:0030089	PBS_linker_poly
PF00430	proton transmembrane transporter activity	GO:0015078	ATP-synt_B
PF00430	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_B
PF00430	proton-transporting ATP synthase complex, coupling factor F(o)	GO:0045263	ATP-synt_B
PF00432	catalytic activity	GO:0003824	Prenyltrans
PF00433	protein serine/threonine kinase activity	GO:0004674	Pkinase_C
PF00433	ATP binding	GO:0005524	Pkinase_C
PF00433	protein phosphorylation	GO:0006468	Pkinase_C
PF00434	viral capsid	GO:0019028	VP7
PF00435	protein binding	GO:0005515	Spectrin
PF00436	single-stranded DNA binding	GO:0003697	SSB
PF00438	methionine adenosyltransferase activity	GO:0004478	S-AdoMet_synt_N
PF00438	S-adenosylmethionine biosynthetic process	GO:0006556	S-AdoMet_synt_N
PF00439	protein binding	GO:0005515	Bromodomain
PF00440	DNA binding	GO:0003677	TetR_N
PF00441	oxidoreductase activity, acting on the CH-CH group of donors	GO:0016627	Acyl-CoA_dh_1
PF00443	cysteine-type deubiquitinase activity	GO:0004843	UCH
PF00443	protein deubiquitination	GO:0016579	UCH
PF00444	structural constituent of ribosome	GO:0003735	Ribosomal_L36
PF00444	translation	GO:0006412	Ribosomal_L36
PF00444	ribosome	GO:0005840	Ribosomal_L36
PF00445	RNA binding	GO:0003723	Ribonuclease_T2
PF00445	ribonuclease T2 activity	GO:0033897	Ribonuclease_T2
PF00446	hormone activity	GO:0005179	GnRH
PF00446	multicellular organism development	GO:0007275	GnRH
PF00446	extracellular region	GO:0005576	GnRH
PF00447	DNA-binding transcription factor activity	GO:0003700	HSF_DNA-bind
PF00447	sequence-specific DNA binding	GO:0043565	HSF_DNA-bind
PF00447	regulation of DNA-templated transcription	GO:0006355	HSF_DNA-bind
PF00448	GTP binding	GO:0005525	SRP54
PF00448	SRP-dependent cotranslational protein targeting to membrane	GO:0006614	SRP54
PF00450	serine-type carboxypeptidase activity	GO:0004185	Peptidase_S10
PF00450	proteolysis	GO:0006508	Peptidase_S10
PF00451	ion channel inhibitor activity	GO:0008200	Toxin_2
PF00451	extracellular region	GO:0005576	Toxin_2
PF00453	structural constituent of ribosome	GO:0003735	Ribosomal_L20
PF00453	rRNA binding	GO:0019843	Ribosomal_L20
PF00453	translation	GO:0006412	Ribosomal_L20
PF00453	ribosome	GO:0005840	Ribosomal_L20
PF00458	aminoacyl-tRNA ligase activity	GO:0004812	WHEP-TRS
PF00458	ATP binding	GO:0005524	WHEP-TRS
PF00458	tRNA aminoacylation for protein translation	GO:0006418	WHEP-TRS
PF00463	isocitrate lyase activity	GO:0004451	ICL
PF00463	carboxylic acid metabolic process	GO:0019752	ICL
PF00465	oxidoreductase activity	GO:0016491	Fe-ADH
PF00465	metal ion binding	GO:0046872	Fe-ADH
PF00468	structural constituent of ribosome	GO:0003735	Ribosomal_L34
PF00468	translation	GO:0006412	Ribosomal_L34
PF00468	ribosome	GO:0005840	Ribosomal_L34
PF00469	GTP binding	GO:0005525	F-protein
PF00471	structural constituent of ribosome	GO:0003735	Ribosomal_L33
PF00471	translation	GO:0006412	Ribosomal_L33
PF00471	ribosome	GO:0005840	Ribosomal_L33
PF00472	translation release factor activity	GO:0003747	RF-1
PF00472	translational termination	GO:0006415	RF-1
PF00473	hormone activity	GO:0005179	CRF
PF00473	extracellular region	GO:0005576	CRF
PF00474	transmembrane transporter activity	GO:0022857	SSF
PF00474	transmembrane transport	GO:0055085	SSF
PF00474	membrane	GO:0016020	SSF
PF00475	imidazoleglycerol-phosphate dehydratase activity	GO:0004424	IGPD
PF00475	histidine biosynthetic process	GO:0000105	IGPD
PF00476	DNA binding	GO:0003677	DNA_pol_A
PF00476	DNA-directed DNA polymerase activity	GO:0003887	DNA_pol_A
PF00476	DNA replication	GO:0006260	DNA_pol_A
PF00478	catalytic activity	GO:0003824	IMPDH
PF00479	oxidoreductase activity, acting on CH-OH group of donors	GO:0016614	G6PD_N
PF00479	NADP binding	GO:0050661	G6PD_N
PF00479	glucose metabolic process	GO:0006006	G6PD_N
PF00483	biosynthetic process	GO:0009058	NTP_transferase
PF00484	carbonate dehydratase activity	GO:0004089	Pro_CA
PF00484	zinc ion binding	GO:0008270	Pro_CA
PF00485	ATP binding	GO:0005524	PRK
PF00485	kinase activity	GO:0016301	PRK
PF00486	DNA binding	GO:0003677	Trans_reg_C
PF00486	phosphorelay signal transduction system	GO:0000160	Trans_reg_C
PF00486	regulation of DNA-templated transcription	GO:0006355	Trans_reg_C
PF00487	lipid metabolic process	GO:0006629	FA_desaturase
PF00488	ATP binding	GO:0005524	MutS_V
PF00488	mismatched DNA binding	GO:0030983	MutS_V
PF00488	mismatch repair	GO:0006298	MutS_V
PF00489	interleukin-6 receptor binding	GO:0005138	IL6
PF00489	cell differentiation	GO:0030154	IL6
PF00489	extracellular space	GO:0005615	IL6
PF00490	porphobilinogen synthase activity	GO:0004655	ALAD
PF00490	metal ion binding	GO:0046872	ALAD
PF00490	tetrapyrrole biosynthetic process	GO:0033014	ALAD
PF00491	metal ion binding	GO:0046872	Arginase
PF00493	DNA binding	GO:0003677	MCM
PF00493	ATP binding	GO:0005524	MCM
PF00493	DNA duplex unwinding	GO:0032508	MCM
PF00494	biosynthetic process	GO:0009058	SQS_PSY
PF00498	protein binding	GO:0005515	FHA
PF00499	NADH dehydrogenase (ubiquinone) activity	GO:0008137	Oxidored_q3
PF00500	structural molecule activity	GO:0005198	Late_protein_L1
PF00500	viral capsid	GO:0019028	Late_protein_L1
PF00502	photosynthesis	GO:0015979	Phycobilisome
PF00502	phycobilisome	GO:0030089	Phycobilisome
PF00503	GTPase activity	GO:0003924	G-alpha
PF00503	guanyl nucleotide binding	GO:0019001	G-alpha
PF00503	G-protein beta/gamma-subunit complex binding	GO:0031683	G-alpha
PF00503	G protein-coupled receptor signaling pathway	GO:0007186	G-alpha
PF00506	structural molecule activity	GO:0005198	Flu_NP
PF00507	NADH dehydrogenase (ubiquinone) activity	GO:0008137	Oxidored_q4
PF00508	regulation of DNA replication	GO:0006275	PPV_E2_N
PF00508	regulation of DNA-templated transcription	GO:0006355	PPV_E2_N
PF00508	viral process	GO:0016032	PPV_E2_N
PF00509	host cell surface receptor binding	GO:0046789	Hemagglutinin
PF00509	fusion of virus membrane with host plasma membrane	GO:0019064	Hemagglutinin
PF00509	viral envelope	GO:0019031	Hemagglutinin
PF00510	cytochrome-c oxidase activity	GO:0004129	COX3
PF00510	membrane	GO:0016020	COX3
PF00511	DNA binding	GO:0003677	PPV_E2_C
PF00511	DNA-binding transcription factor activity	GO:0003700	PPV_E2_C
PF00511	regulation of DNA replication	GO:0006275	PPV_E2_C
PF00511	regulation of DNA-templated transcription	GO:0006355	PPV_E2_C
PF00511	host cell nucleus	GO:0042025	PPV_E2_C
PF00512	phosphorelay sensor kinase activity	GO:0000155	HisKA
PF00512	signal transduction	GO:0007165	HisKA
PF00513	structural molecule activity	GO:0005198	Late_protein_L2
PF00513	viral capsid	GO:0019028	Late_protein_L2
PF00514	protein binding	GO:0005515	Arm
PF00515	protein binding	GO:0005515	TPR_1
PF00516	viral envelope	GO:0019031	GP120
PF00517	structural molecule activity	GO:0005198	GP41
PF00519	DNA binding	GO:0003677	PPV_E1_C
PF00519	DNA helicase activity	GO:0003678	PPV_E1_C
PF00519	ATP binding	GO:0005524	PPV_E1_C
PF00519	DNA replication	GO:0006260	PPV_E1_C
PF00520	monoatomic ion channel activity	GO:0005216	Ion_trans
PF00520	monoatomic ion transport	GO:0006811	Ion_trans
PF00520	transmembrane transport	GO:0055085	Ion_trans
PF00520	membrane	GO:0016020	Ion_trans
PF00521	DNA binding	GO:0003677	DNA_topoisoIV
PF00521	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	GO:0003918	DNA_topoisoIV
PF00521	ATP binding	GO:0005524	DNA_topoisoIV
PF00521	DNA topological change	GO:0006265	DNA_topoisoIV
PF00522	viral life cycle	GO:0019058	VPR
PF00522	host cell nucleus	GO:0042025	VPR
PF00523	fusion of virus membrane with host plasma membrane	GO:0019064	Fusion_gly
PF00524	hydrolase activity, acting on acid anhydrides	GO:0016817	PPV_E1_N
PF00525	structural constituent of eye lens	GO:0005212	Crystallin
PF00527	DNA binding	GO:0003677	E7
PF00527	DNA-binding transcription factor activity	GO:0003700	E7
PF00527	regulation of DNA-templated transcription	GO:0006355	E7
PF00528	transmembrane transport	GO:0055085	BPD_transp_1
PF00528	membrane	GO:0016020	BPD_transp_1
PF00529	transmembrane transport	GO:0055085	CusB_dom_1
PF00530	membrane	GO:0016020	SRCR
PF00531	protein binding	GO:0005515	Death
PF00531	signal transduction	GO:0007165	Death
PF00534	glycosyltransferase activity	GO:0016757	Glycos_transf_1
PF00536	protein binding	GO:0005515	SAM_1
PF00537	ion channel inhibitor activity	GO:0008200	Toxin_3
PF00537	sodium channel inhibitor activity	GO:0019871	Toxin_3
PF00537	extracellular region	GO:0005576	Toxin_3
PF00538	DNA binding	GO:0003677	Linker_histone
PF00538	nucleosome assembly	GO:0006334	Linker_histone
PF00538	nucleosome	GO:0000786	Linker_histone
PF00539	RNA-binding transcription regulator activity	GO:0001070	Tat
PF00539	positive regulation of viral transcription	GO:0050434	Tat
PF00539	host cell nucleus	GO:0042025	Tat
PF00540	structural molecule activity	GO:0005198	Gag_p17
PF00541	virion attachment to host cell	GO:0019062	Adeno_knob
PF00541	viral capsid	GO:0019028	Adeno_knob
PF00542	structural constituent of ribosome	GO:0003735	Ribosomal_L12
PF00542	translation	GO:0006412	Ribosomal_L12
PF00543	enzyme regulator activity	GO:0030234	P-II
PF00543	regulation of nitrogen utilization	GO:0006808	P-II
PF00545	RNA binding	GO:0003723	Ribonuclease
PF00545	RNA endonuclease activity	GO:0004521	Ribonuclease
PF00547	nickel cation binding	GO:0016151	Urease_gamma
PF00547	urea catabolic process	GO:0043419	Urease_gamma
PF00548	cysteine-type endopeptidase activity	GO:0004197	Peptidase_C3
PF00548	proteolysis	GO:0006508	Peptidase_C3
PF00549	catalytic activity	GO:0003824	Ligase_CoA
PF00551	biosynthetic process	GO:0009058	Formyl_trans_N
PF00552	nucleic acid binding	GO:0003676	IN_DBD_C
PF00553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	CBM_2
PF00553	carbohydrate binding	GO:0030246	CBM_2
PF00553	carbohydrate metabolic process	GO:0005975	CBM_2
PF00554	DNA binding	GO:0003677	RHD_DNA_bind
PF00554	DNA-binding transcription factor activity	GO:0003700	RHD_DNA_bind
PF00554	regulation of DNA-templated transcription	GO:0006355	RHD_DNA_bind
PF00555	signaling receptor binding	GO:0005102	Endotoxin_M
PF00556	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	GO:0045156	LHC
PF00556	photosynthesis, light reaction	GO:0019684	LHC
PF00556	membrane	GO:0016020	LHC
PF00556	plasma membrane light-harvesting complex	GO:0030077	LHC
PF00558	monoatomic cation channel activity	GO:0005261	Vpu
PF00558	viral release from host cell	GO:0019076	Vpu
PF00558	receptor catabolic process	GO:0032801	Vpu
PF00558	host cell membrane	GO:0033644	Vpu
PF00559	viral life cycle	GO:0019058	Vif
PF00560	protein binding	GO:0005515	LRR_1
PF00562	DNA binding	GO:0003677	RNA_pol_Rpb2_6
PF00562	DNA-directed 5'-3' RNA polymerase activity	GO:0003899	RNA_pol_Rpb2_6
PF00562	DNA-templated transcription	GO:0006351	RNA_pol_Rpb2_6
PF00564	protein binding	GO:0005515	PB1
PF00569	zinc ion binding	GO:0008270	ZZ
PF00570	nucleic acid binding	GO:0003676	HRDC
PF00572	structural constituent of ribosome	GO:0003735	Ribosomal_L13
PF00572	translation	GO:0006412	Ribosomal_L13
PF00572	ribosome	GO:0005840	Ribosomal_L13
PF00573	structural constituent of ribosome	GO:0003735	Ribosomal_L4
PF00573	translation	GO:0006412	Ribosomal_L4
PF00573	ribosome	GO:0005840	Ribosomal_L4
PF00575	nucleic acid binding	GO:0003676	S1
PF00577	fimbrial usher porin activity	GO:0015473	Usher
PF00577	pilus assembly	GO:0009297	Usher
PF00577	membrane	GO:0016020	Usher
PF00578	antioxidant activity	GO:0016209	AhpC-TSA
PF00578	oxidoreductase activity	GO:0016491	AhpC-TSA
PF00579	nucleotide binding	GO:0000166	tRNA-synt_1b
PF00579	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_1b
PF00579	ATP binding	GO:0005524	tRNA-synt_1b
PF00579	tRNA aminoacylation for protein translation	GO:0006418	tRNA-synt_1b
PF00580	ATP binding	GO:0005524	UvrD-helicase
PF00583	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0016747	Acetyltransf_1
PF00584	protein targeting	GO:0006605	SecE
PF00584	intracellular protein transport	GO:0006886	SecE
PF00584	membrane	GO:0016020	SecE
PF00587	nucleotide binding	GO:0000166	tRNA-synt_2b
PF00587	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_2b
PF00587	ATP binding	GO:0005524	tRNA-synt_2b
PF00587	tRNA aminoacylation for protein translation	GO:0006418	tRNA-synt_2b
PF00588	RNA binding	GO:0003723	SpoU_methylase
PF00588	RNA methyltransferase activity	GO:0008173	SpoU_methylase
PF00588	RNA processing	GO:0006396	SpoU_methylase
PF00589	DNA binding	GO:0003677	Phage_integrase
PF00589	DNA recombination	GO:0006310	Phage_integrase
PF00589	DNA integration	GO:0015074	Phage_integrase
PF00590	methyltransferase activity	GO:0008168	TP_methylase
PF00591	glycosyltransferase activity	GO:0016757	Glycos_transf_3
PF00594	calcium ion binding	GO:0005509	Gla
PF00594	extracellular region	GO:0005576	Gla
PF00595	protein binding	GO:0005515	PDZ
PF00598	RNA binding	GO:0003723	Flu_M1
PF00598	structural molecule activity	GO:0005198	Flu_M1
PF00599	proton transmembrane transporter activity	GO:0015078	Flu_M2
PF00599	proton transmembrane transport	GO:1902600	Flu_M2
PF00599	host cell membrane	GO:0033644	Flu_M2
PF00599	virion membrane	GO:0055036	Flu_M2
PF00600	RNA binding	GO:0003723	Flu_NS1
PF00601	exit of virus from host cell nucleus through nuclear pore	GO:0039675	Flu_NS2
PF00602	RNA binding	GO:0003723	Flu_PB1
PF00602	RNA-dependent RNA polymerase activity	GO:0003968	Flu_PB1
PF00602	viral RNA genome replication	GO:0039694	Flu_PB1
PF00603	RNA binding	GO:0003723	Flu_PA
PF00603	viral RNA genome replication	GO:0039694	Flu_PA
PF00605	transcription cis-regulatory region binding	GO:0000976	IRF
